Program,ParentProject,Project,StationCode,StationName,LocationCode,CommonName,FinalID,TissueName,TissuePrep,MatrixDisplay,Analyte,ResultType,Result,Unit,SampleYear,Region,TargetLatitude,TargetLongitude,TLAvgLength_mm,DataQuality,DataQualityIndicator,N_in_Avg,ND_in_Avg,DisplayText
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2017,201PNL105,Nicasio Lake,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.415562,ug/g ww,2017,2,38.07682,-122.73043,350,Passed,,11,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,201PSL093,Soulejoule Lake,NA,Black Crappie,Pomoxis nigromaculatus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.9986,ug/g ww,2021,2,38.14734508,-122.7778744,225.9,Passed,,10,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,201PSL093,Soulejoule Lake,NA,Bluegill,Lepomis macrochirus,whole organism,"Skin on, Scales On",tissue,"Mercury, Total",Average of Individuals,0.175,ug/g ww,2021,2,38.14734508,-122.7778744,117.6,Passed,,5,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,201PSL093,Soulejoule Lake,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L1,1.034211,ug/g ww,2007,2,38.14734508,-122.7778744,350,Passed,,16,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,201PSL093,Soulejoule Lake,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,1.813638,ug/g ww,2021,2,38.14734508,-122.7778744,350,Passed,,14,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,201PSL093,Soulejoule Lake,NA,Largemouth Bass,Micropterus salmoides,whole organism,"Skin on, Scales On",tissue,"Mercury, Total",Average of Individuals,0.458667,ug/g ww,2021,2,38.14734508,-122.7778744,117.67,Passed,,3,0,
Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,RWB2 Tomales Bay Mercury TMDL Monitoring FY1920,201WLKD19,Walker Creek Delta Roar Pickle A,NA,Pacific Staghorn Sculpin,Leptocottus armatus,whole organism,"Skin on, Scales On",tissue,"Mercury, Total",Average of Individuals,0.114,ug/g ww,2019,2,38.21507,-122.92558,125,Some review needed,"BatchVerification:VAC,VMD; QACode:H",1,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20246PPTH,Pillar Point Harbor,NA,Black Perch,Embiotoca jacksoni,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.0605,ug/g ww,2009,2,37.501376,-122.4783349,209.67,Some review needed,ResultQualCode:DNQ,6,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20246PPTH,Pillar Point Harbor,NA,California Halibut,Paralichthys californicus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.073,ug/g ww,2020,2,37.501376,-122.4783349,632,Passed,,1,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20246PPTH,Pillar Point Harbor,NA,Shiner Surfperch,Cymatogaster aggregata,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.064444,ug/g ww,2009,2,37.501376,-122.4783349,118.22,Some review needed,ResultQualCode:DNQ,9,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20246PPTH,Pillar Point Harbor,NA,White Surfperch,Phanerodon furcatus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.067429,ug/g ww,2009,2,37.501376,-122.4783349,211,Some review needed,ResultQualCode:DNQ,7,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20247HMBC,Half Moon Bay Coast,NA,Barred Surfperch,Amphistichus argenteus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.1986,ug/g ww,2009,2,37.32042,-122.53064,259.4,Passed,,10,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20247HMBC,Half Moon Bay Coast,NA,Blue Rockfish,Sebastes mystinus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.074333,ug/g ww,2009,2,37.32042,-122.53064,303.17,Passed,,6,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2010,20247HMBC,Half Moon Bay Coast,NA,Blue Rockfish,Sebastes mystinus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.07,ug/g ww,2010,2,37.32042,-122.53064,282.25,Some review needed,ResultQualCode:DNQ,4,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20247HMBC,Half Moon Bay Coast,NA,Brown Rockfish,Sebastes auriculatus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.2209,ug/g ww,2020,2,37.32042,-122.53064,318.5,Passed,,10,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20247HMBC,Half Moon Bay Coast,NA,Yellowtail Rockfish,Sebastes flavidus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.0565,ug/g ww,2020,2,37.32042,-122.53064,297.5,Passed,,2,0,
